point_label,oscillator_levels,v_low,g0_over_omega_rabi0,oscillator_ratio,t_gate,F_g,max_high_population,final_high_population,passes_leakage,passes_state_transfer,passes_both
r002_v024_ratio3,5,0.24,0.02,3.0,19.23824745242796,0.9993773551798154,0.0007827299274521846,1.944202360750386e-07,1,1,1
r002_v024_ratio3,8,0.24,0.02,3.0,19.23824745242796,0.9993773585824534,0.0007827388202927429,1.939486541134718e-07,1,1,1
r002_v024_ratio3,10,0.24,0.02,3.0,19.23824745242796,0.9993773580790305,0.0007827371984548896,1.9395511072772454e-07,1,1,1
r003_v024_ratio45,5,0.24,0.03,4.5,19.23824745242796,0.999823376182169,0.00039022164283903586,1.56014770052286e-08,1,1,1
r003_v024_ratio45,8,0.24,0.03,4.5,19.23824745242796,0.9998233739631477,0.0003902225795396602,1.5607983273978697e-08,1,1,1
r003_v024_ratio45,10,0.24,0.03,4.5,19.23824745242796,0.9998233739966352,0.00039022326706291197,1.560947973065918e-08,1,1,1
r004_v024_ratio55,5,0.24,0.04,5.5,19.23824745242796,0.9999977724870236,0.00059450699888813,2.784164208186388e-12,1,1,1
r004_v024_ratio55,8,0.24,0.04,5.5,19.23824745242796,0.9999977714766392,0.0005945229079826267,2.4023625917106245e-12,1,1,1
r004_v024_ratio55,10,0.24,0.04,5.5,19.23824745242796,0.9999977722391884,0.000594510443750755,2.968508139393953e-12,1,1,1
near_fail_v018,5,0.18,0.02,7.0,16.660811018093874,0.9996462711478091,0.0013123919666576677,6.239082447166768e-08,0,1,0
near_fail_v018,8,0.18,0.02,7.0,16.660811018093874,0.9996462605161298,0.0013124383244317438,6.257084476350714e-08,0,1,0
near_fail_v018,10,0.18,0.02,7.0,16.660811018093874,0.9996462605602146,0.0013124396570169405,6.257198191682234e-08,0,1,0
