v_low,fidelity,gamma_decay
0.05,0.0,25.59999999999999
0.05084383823930114,0.0,22.769930095887833
0.05170191773808441,0.0,20.252723303578843
0.05257447884273637,0.0,18.0137927294472
0.05346176595591296,0.0,16.022375047317382
0.05436402760499628,0.0,14.25110780459045
0.05528151651170665,0.0,12.675653457011165
0.05621448966288937,0.0,11.274364966243859
0.057163208382496264,0.0,10.027988365503878
0.05812793840478206,0.0,8.919398206441395
0.059108949948735987,0.0,7.933362252267883
0.060106517793769604,0.0,7.0563321839646385
0.06112092135668195,0.0,6.276257443837432
0.06215244476992364,0.0,5.582419658592749
0.06320137696118192,0.0,4.965285366877611
0.06426801173430854,0.0,4.41637502773195
0.06535264785161382,0.0,3.9281465101047326
0.06645558911754929,0.0,3.493891462558222
0.06757714446380275,0.0,3.1076431392605426
0.06871762803582944,0.0,2.764094415778434
0.06987735928084353,0.0,2.4585248681917533
0.07105666303729474,0.0,2.186735913583125
0.07225586962585481,0.0,1.9449931207209106
0.07347531494193989,0.0,1.7299748982733538
0.07471534054979397,0.0,1.538726855520503
0.07597629377816043,0.0,1.3686212084713731
0.07725852781756821,0.0,1.2173206736188535
0.07856240181925972,0.0,1.0827463532257953
0.07988828099578837,0.0,0.9630491708800322
0.08123653672331395,0.0,0.8565844648375445
0.08260754664562442,0.0,0.7618893900614989
0.08400169477991304,0.0,0.6776628184569894
0.0854193716243409,0.0,0.6027474611268739
0.08686097426741479,0.0,0.5361139670051862
0.08832690649921073,0.0,0.4768467793803596
0.08981757892447494,0.0,0.4241315559742198
0.09133340907763335,0.0,0.3772439797262935
0.09287482153974216,0.0,0.3355398065414932
0.09444224805741223,0.0,0.29844601325537207
0.09603612766374035,0.0,0.2654529241883303
0.09765690680128176,0.0,0.23610720810614405
0.09930503944709755,0.0,0.21000564936375532
0.10098098723991293,0.0,0.18678960764664992
0.10268521960942133,0.0,0.16614009018564563
0.10441821390777062,0.0,0.14777336873639266
0.10618045554326866,0.0,0.13143708110005936
0.10797243811634516,0.0,0.11690676361937069
0.10979466355780809,0.0,0.10398276700584207
0.11164764226943373,0.0,0.0924875131210943
0.11353189326692899,0.0,0.082263055019915
0.11544794432530679,0.0005932440972895581,0.07316890672959526
0.11739633212671487,0.10141759519577254,0.06508011294630542
0.11937760241075925,0.1918676765848305,0.05788553212577572
0.12139231012736494,0.27301266908330624,0.051486309377624405
0.12344101959221643,0.3458115484448735,0.04579451818061564
0.12552430464482106,0.41112444478810506,0.0407319522557611
0.12764274880924079,0.46972283114788005,0.03622905099737188
0.12979694545753573,0.5222986618369663,0.032223943697285665
0.1319874979759668,0.5694725688666482,0.028661599429727323
0.13421501993400287,0.6118012135173905,0.025493070916063617
0.13648013525618038,0.649783880142873,0.022674821980010928
0.1387834783968635,0.6838683903145565,0.020168129352404297
0.14112569451795345,0.7144564073630044,0.017938550606213632
0.143507439669597,0.7419081941511129,0.01595545091113405
0.14592938097394517,0.7665468804376425,0.014191582105269204
0.14839219681201235,0.7886622903802514,0.0126227083002747
0.1508965770136899,0.8085143755168841,0.011227272875704608
0.15344322305096592,0.8263362938910109,0.009986102287002002
0.1560328482344063,0.8423371717946179,0.008882142617399261
0.15866617791295154,0.8567045808432749,0.007900225253901856
0.16134394967708568,0.9804469937423171,0.0
0.16406691356543376,0.980609929984873,0.0
0.16683583227484633,0.9807715084710414,0.0
0.16965148137402922,0.9809317405150788,0.0
0.17251464952077905,0.9810906373369591,0.0
0.1754261386828844,0.9812482100631598,0.0
0.17838676436275566,0.9814044697274406,0.0
0.1813973558258455,0.9815594272716163,0.0
0.1844587563329248,0.9817130935463232,0.0
0.18757182337627787,0.9818654793117786,0.0
0.19073742891988474,0.9820165952385344,0.0
0.19395645964365632,0.9821664519082238,0.0
0.19722981719179206,0.9823150598143032,0.0
0.2005584184253282,0.9824624293627863,0.0
0.20394319567894922,0.9826085708729728,0.0
0.20738509702213262,0.9827534945781713,0.0
0.21088508652470167,0.9828972106264157,0.0
0.21444414452685914,0.9830397290811755,0.0
0.21806326791377884,0.9831810599220613,0.0
0.22174347039483108,0.9833212130455224,0.0
0.22548578278752107,0.9834601982655412,0.0
0.2292912533062183,0.9835980253143191,0.0
0.23316094785575972,0.9837347038429586,0.0
0.23709595033000747,0.9838702434221394,0.0
0.24109736291544556,0.9840046535427879,0.0
0.24516630639989992,0.9841379436167422,0.0
0.24930392048646902,0.9842701229774112,0.0
0.2535113641127525,0.9844012008804277,0.0
