time,P_osc_0,P_osc_1,P_osc_2,P_osc_3,P_osc_4,P_osc_5,P_osc_6,P_osc_7,P_high_ge2
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05670427092349373,0.999995369896116,4.63009316603851e-06,1.0718303747475039e-11,1.6555834251802535e-17,2.4098125149525505e-23,7.436156410779786e-30,2.4134858440595043e-37,1.6300088930871618e-46,1.0718320303333389e-11
0.11340854184698745,0.9999814800049783,1.851982355675112e-05,1.7146420456380694e-10,1.059129699271272e-15,5.6836098571186235e-21,1.5767254236950202e-26,1.4486441745573726e-32,7.809596206166698e-40,1.7146526369918983e-10
0.17011281277048118,0.9999583315909306,4.166754121697475e-05,8.678407349488533e-10,1.2069843758020932e-14,1.3840942784368528e-19,7.3472368737366175e-25,1.4183390612981724e-30,1.372356446193444e-37,8.678528049310213e-10
0.2268170836939749,0.9999259267589957,7.407049891179389e-05,2.742024799452818e-09,6.777064431970595e-14,1.3377476732769359e-18,1.715226828931941e-23,1.5575647526493323e-28,7.488556670832041e-34,2.742092571434902e-09
0.28352135461746863,0.9998842684540835,0.00011572485328140791,6.692376971590551e-09,2.582602147510248e-13,7.726277360893613e-18,1.7849464462904502e-22,2.8425486483917744e-27,2.3979676808177544e-32,6.692635239531758e-09
0.34022562554096236,0.9998333604677861,0.0001666256593196798,1.387212399139759e-08,7.703163330669822e-13,3.265646414121284e-17,1.1516446879760598e-21,2.95184887410225e-26,5.236082694335791e-31,1.387289434038827e-08
0.3969298964644561,0.9997732074599678,0.00022676685017149653,2.568791970659738e-08,1.9408373094414174e-12,1.1120869095954566e-16,5.349443841339274e-21,1.9322834440557837e-25,5.175604108620782e-30,2.568986065512086e-08
0.4536341673879498,0.9997038149649502,0.0002961412321603366,4.3798567453531845e-08,4.322147260621503e-12,3.2229960675771586e-16,1.9825555358101207e-20,9.32417621114011e-25,3.3130505602180603e-29,4.38028899231119e-08
0.5103384383114435,0.999625189340507,0.000374740537707834,7.01130287721549e-08,8.755588995035618e-12,8.246845026174012e-16,6.367868774264125e-20,3.8070963028353395e-24,1.7613039917083587e-28,7.012178518589812e-08
0.5670427092349373,0.9995373378562467,0.00046255533907429974,1.067882156930707e-07,1.6461754405220704e-11,1.9131555306975283e-15,1.8119904498049556e-19,1.3191229720437578e-23,7.447874077095653e-28,1.0680467936081266e-07
0.623746980158431,0.9994402686634989,0.0005595750806052876,1.5622675416266148e-07,2.9137634644740293e-11,4.096507028926e-15,4.669328844731267e-19,4.0730416283685047e-23,2.7532161767133862e-27,1.5625589589428024e-07
0.6804512510819247,0.9993339907638088,0.0006657881125709554,2.210745510295032e-07,4.906093727899642e-11,8.2011221480494e-15,1.1115351432197297e-18,1.1666958139618836e-22,9.45199032611904e-27,2.21123620169016e-07
0.7371555220054185,0.9992185141341403,0.0007811815691682643,3.0421745681679264e-07,7.921905976060652e-11,1.5523343407058882e-14,2.4708128172747177e-18,3.082182071321955e-22,2.917073491714965e-26,3.0429669140236776e-07
0.7938597929289122,0.9990938496233525,0.0009057414749129206,4.0877827721438455e-07,1.234296046612902e-10,2.8012383618877775e-14,5.172043896864632e-18,7.583285060192439e-22,8.424752950748612e-26,4.089017348366022e-07
0.8505640638524059,0.9989600089919274,0.0010394527084913172,5.381130527866737e-07,1.8648012829149874e-10,4.851329359286909e-14,1.0271948727149831e-17,1.7545478428246766e-21,2.303914460667106e-25,5.382995814385324e-07
0.9072683347758996,0.9988170050289332,0.0011822988895879905,6.958071050399631e-07,2.7429281063100237e-10,8.108451652568997e-14,1.9484915318382456e-17,3.83658668288427e-21,5.897663309575538e-25,6.960814789545994e-07
0.9639726056993934,0.9986648513832146,0.0013342625504035668,8.856721977228058e-07,3.9405287782878594e-10,1.3133360687278397e-13,3.5535031755965673e-17,7.964104892630333e-21,1.4222385251594501e-24,8.860663819697844e-07
1.020676876622887,0.9985035627082162,0.001495324995872349,1.1117413122084315e-06,5.543923458208653e-10,2.0689600360625882e-13,6.262192367898725e-17,1.5774802578738772e-20,3.2493610930360953e-24,1.1122959115128937e-06
1.0773811475463808,0.9983331547202234,0.0016654662499233808,1.3782639564104511e-06,7.655788550682108e-10,3.1799601978453575e-13,1.0704070399740441e-16,2.9978915562539335e-20,7.054582297273902e-24,1.3790298533686097e-06
1.1340854184698745,0.9981536440143766,0.0018446652421366086,1.6897033530453255e-06,1.039655643615089e-09,4.779483895846302e-13,1.7798641091807084e-16,5.510644465694239e-20,1.457659860864996e-23,1.6907434868153717e-06
1.1907896893933683,0.9979650483035769,0.002032899575749896,2.050729292726685e-06,1.390676089218301e-09,7.040149871534111e-13,2.887084447225103e-16,9.83838588121368e-20,2.8788417154992596e-23,2.0521206731196978e-06
1.247493960316862,0.9977673863809313,0.002230145569496374,2.466213658741067e-06,1.8348949673439661e-09,1.0182506865659384e-12,4.578754305663455e-16,1.7103015451317818e-19,5.47300605861353e-23,2.4680495724171436e-06
1.3041982312403557,0.9975606779589099,0.002436378421823932,2.941226903627798e-06,2.390913788585383e-09,1.4483532901419362e-12,7.110944251172577e-16,2.9011933744771083e-19,1.012374872555939e-22,2.943619266481058e-06
1.3609025021638494,0.9973449439814969,0.0026515719075832526,3.481028914059775e-06,3.079975785042668e-09,2.0290176044297485e-12,1.0833664216542886e-15,4.813019480141805e-19,1.8273262327266965e-22,3.4841109199462693e-06
1.4176067730873432,0.9971202064982987,0.002875698507000733,4.091065752201056e-06,3.926144074574944e-09,2.803061493276294e-12,1.6217069974033764e-15,7.820960916262671e-19,3.2211952919348993e-22,4.0949947009596125e-06
1.474311044010837,0.9968864885779009,0.0031087294960382176,4.776965764245878e-06,4.956471708513434e-09,3.822610681365074e-12,2.3884361290695194e-15,1.2460557628712701e-18,5.549822342817307e-22,4.781926060954756e-06
1.5310153149343306,0.9966438144980457,0.0033506347653416836,5.544530179246649e-06,6.201278879497435e-09,5.150932788327869e-12,3.4655558058528042e-15,1.9488830875024518e-18,9.360718156629833e-22,5.55073661252644e-06
1.5877195858578244,0.9963922097110919,0.0036013828599702367,6.3997277146036535e-06,7.694354192419217e-09,6.864104053896462e-12,4.959949438425371e-15,2.995753824132998e-18,1.5484588949357133e-21,6.407428937863072e-06
