v_low,leakage_coupling,oscillator_ratio,max_high_population,final_high_population,t_gate,passes_1e_minus_3
0.08,0.004,2.0,0.000195437229069265,0.000195437229069265,11.107207345395915,1
0.08,0.004,2.4,0.0001591367387714229,0.0001591367387714229,11.107207345395915,1
0.08,0.004,3.0,0.00010721331772687643,0.00010721331772687643,11.107207345395915,1
0.08,0.004,3.6,6.468896570610567e-05,6.468896570610567e-05,11.107207345395915,1
0.08,0.004,4.5,2.5073466236270222e-05,2.4363189587482097e-05,11.107207345395915,1
0.08,0.006,2.0,0.0009736476121706785,0.0009736476121706785,11.107207345395915,1
0.08,0.006,2.4,0.0007941305189037933,0.0007941305189037933,11.107207345395915,1
0.08,0.006,3.0,0.0005364151984455237,0.0005364151984455237,11.107207345395915,1
0.08,0.006,3.6,0.000324437569121586,0.000324437569121586,11.107207345395915,1
0.08,0.006,4.5,0.00012618506352708473,0.00012249227017185996,11.107207345395915,1
0.08,0.008,2.0,0.003008970313786707,0.003008970313786707,11.107207345395915,0
0.08,0.008,2.4,0.0024599191281707423,0.0024599191281707423,11.107207345395915,0
0.08,0.008,3.0,0.0016676496876882661,0.0016676496876882661,11.107207345395915,0
0.08,0.008,3.6,0.0010120380647609265,0.0010120380647609265,11.107207345395915,0
0.08,0.008,4.5,0.00039550239182893523,0.00038341216080040497,11.107207345395915,1
0.08,0.01,2.0,0.007137897340863023,0.007137897340863023,11.107207345395915,0
0.08,0.01,2.4,0.0058528275897336305,0.0058528275897336305,11.107207345395915,0
0.08,0.01,3.0,0.0039862329635950815,0.0039862329635950815,11.107207345395915,0
0.08,0.01,3.6,0.0024295476364077843,0.0024295476364077843,11.107207345395915,0
0.08,0.01,4.5,0.0009553063278128664,0.0009245138863723366,11.107207345395915,1
0.08,0.012,2.0,0.014291704956301788,0.014291704956301788,11.107207345395915,0
0.08,0.012,2.4,0.011761011605359868,0.011761011605359868,11.107207345395915,0
0.08,0.012,3.0,0.008055331567103249,0.008055331567103249,11.107207345395915,0
0.08,0.012,3.6,0.004935373179943597,0.004935373179943597,11.107207345395915,0
0.08,0.012,4.5,0.0019551907403810766,0.0018882337290158301,11.107207345395915,0
0.08,0.016,2.0,0.04134062966641106,0.04134062966641106,11.107207345395915,0
0.08,0.016,2.4,0.03432809462331719,0.03432809462331719,11.107207345395915,0
0.08,0.016,3.0,0.023845951111738938,0.023845951111738938,11.107207345395915,0
0.08,0.016,3.6,0.01480417642437017,0.01480417642437017,11.107207345395915,0
0.08,0.016,4.5,0.005978000968597075,0.005742463770007859,11.107207345395915,0
0.1,0.004,2.0,0.0001310322310597968,0.0001310322310597968,12.418235332245127,1
0.1,0.004,2.4,8.805166718552524e-05,8.805166718552524e-05,12.418235332245127,1
0.1,0.004,3.0,4.135479664792516e-05,4.135479664792516e-05,12.418235332245127,1
0.1,0.004,3.6,1.690131782406148e-05,1.649979611919568e-05,12.418235332245127,1
0.1,0.004,4.5,5.839861632909965e-06,3.943031187012353e-06,12.418235332245127,1
0.1,0.006,2.0,0.0006548395476951654,0.0006548395476951654,12.418235332245127,1
0.1,0.006,2.4,0.000441036082576474,0.000441036082576474,12.418235332245127,1
0.1,0.006,3.0,0.00020766440935570364,0.00020766440935570364,12.418235332245127,1
0.1,0.006,3.6,8.512394227420116e-05,8.290679038105697e-05,12.418235332245127,1
0.1,0.006,4.5,2.949457977247071e-05,1.978056431434181e-05,12.418235332245127,1
0.1,0.008,2.0,0.002032575520923543,0.002032575520923543,12.418235332245127,0
0.1,0.008,2.4,0.0013732577096663213,0.0013732577096663213,12.418235332245127,0
0.1,0.008,3.0,0.0006488985917361055,0.0006488985917361055,12.418235332245127,1
0.1,0.008,3.6,0.0002671056385095303,0.0002592952978996887,12.418235332245127,1
0.1,0.008,4.5,9.290922366304715e-05,6.172486253216477e-05,12.418235332245127,1
0.1,0.01,2.0,0.0048485956952020876,0.0048485956952020876,12.418235332245127,0
0.1,0.01,2.4,0.0032890412079752385,0.0032890412079752385,12.418235332245127,0
0.1,0.01,3.0,0.0015612151189806458,0.0015612151189806458,12.418235332245127,0
0.1,0.01,3.6,0.0006461321695789189,0.0006245895973939872,12.418235332245127,1
0.1,0.01,4.5,0.00022586392603420592,0.00014824973600683988,12.418235332245127,1
0.1,0.012,2.0,0.009773575749195162,0.009773575749195162,12.418235332245127,0
0.1,0.012,2.4,0.00666239189734301,0.00666239189734301,12.418235332245127,0
0.1,0.012,3.0,0.0031799870644741786,0.0031799870644741786,12.418235332245127,0
0.1,0.012,3.6,0.00132504272187359,0.0012740864291064266,12.418235332245127,0
0.1,0.012,4.5,0.0004659131157657002,0.0003013314031647054,12.418235332245127,1
0.1,0.016,2.0,0.028750116837919264,0.028750116837919264,12.418235332245127,0
0.1,0.016,2.4,0.019840610966616767,0.019840610966616767,12.418235332245127,0
0.1,0.016,3.0,0.009603813401863281,0.009603813401863281,12.418235332245127,0
0.1,0.016,3.6,0.004072496663087486,0.003862897591822626,12.418235332245127,0
0.1,0.016,4.5,0.001453033685830772,0.0009052630436302051,12.418235332245127,0
0.14,0.004,2.0,3.975078870160655e-05,3.975078870160655e-05,14.693454198173747,1
0.14,0.004,2.4,1.822504347441354e-05,1.822504347441354e-05,14.693454198173747,1
0.14,0.004,3.0,5.457392011292269e-06,5.457392011292269e-06,14.693454198173747,1
0.14,0.004,3.6,1.7992795818808338e-06,1.4970344484187748e-06,14.693454198173747,1
0.14,0.004,4.5,6.938556165843336e-07,6.101598497891165e-07,14.693454198173747,1
0.14,0.006,2.0,0.00019947348935845407,0.00019947348935845407,14.693454198173747,1
0.14,0.006,2.4,9.141706430083361e-05,9.141706430083361e-05,14.693454198173747,1
0.14,0.006,3.0,2.7406626774647853e-05,2.7406626774647853e-05,14.693454198173747,1
0.14,0.006,3.6,9.099215721225665e-06,7.557387053385995e-06,14.693454198173747,1
0.14,0.006,4.5,3.510176429906534e-06,3.08864027714671e-06,14.693454198173747,1
0.14,0.008,2.0,0.0006227099282776,0.0006227099282776,14.693454198173747,1
0.14,0.008,2.4,0.0002852200627443815,0.0002852200627443815,14.693454198173747,1
0.14,0.008,3.0,8.564792000065712e-05,8.564792000065712e-05,14.693454198173747,1
0.14,0.008,3.6,2.8714476062071525e-05,2.3790054148511325e-05,14.693454198173747,1
0.14,0.008,4.5,1.1082917319999093e-05,9.76017715914844e-06,14.693454198173747,1
0.14,0.01,2.0,0.0014963913454216237,0.0014963913454216237,14.693454198173747,0
0.14,0.01,2.4,0.0006849015897458623,0.0006849015897458623,14.693454198173747,1
0.14,0.01,3.0,0.0002060913817198942,0.0002060913817198942,14.693454198173747,1
0.14,0.01,3.6,6.996636202885033e-05,5.7781904721968574e-05,14.693454198173747,1
0.14,0.01,4.5,2.702303590277562e-05,2.3824223156257278e-05,14.693454198173747,1
0.14,0.012,2.0,0.0030434491406858685,0.0030434491406858685,14.693454198173747,0
0.14,0.012,2.4,0.0013918048669473054,0.0013918048669473054,14.693454198173747,0
0.14,0.012,3.0,0.0004198369145248885,0.0004198369145248885,14.693454198173747,1
0.14,0.012,3.6,0.00014473419421746144,0.00011905567941789729,14.693454198173747,1
0.14,0.012,4.5,5.594658412761578e-05,4.939085868419535e-05,14.693454198173747,1
0.14,0.016,2.0,0.00915710779389571,0.00915710779389571,14.693454198173747,0
0.14,0.016,2.4,0.0041790243000715994,0.0041790243000715994,14.693454198173747,0
0.14,0.016,3.0,0.0012682032986463102,0.0012682032986463102,14.693454198173747,0
0.14,0.016,3.6,0.0004546321405113156,0.00037012527116305367,14.693454198173747,1
0.14,0.016,4.5,0.00017610786711215717,0.00015601883141154875,14.693454198173747,1
0.18,0.004,2.0,1.2639031012412961e-05,1.2639031012412961e-05,16.660811018093874,1
0.18,0.004,2.4,4.010958966553796e-06,3.476168462589977e-06,16.660811018093874,1
0.18,0.004,3.0,9.728706814505513e-07,7.504965762425835e-07,16.660811018093874,1
0.18,0.004,3.6,3.692342979336231e-07,1.352905592763564e-07,16.660811018093874,1
0.18,0.004,4.5,1.4813459128402695e-07,7.45184021136116e-08,16.660811018093874,1
0.18,0.006,2.0,6.346177589266213e-05,6.346177589266213e-05,16.660811018093874,1
0.18,0.006,2.4,2.0188669644011348e-05,1.7540657007051514e-05,16.660811018093874,1
0.18,0.006,3.0,4.905234365305965e-06,3.791899041860969e-06,16.660811018093874,1
0.18,0.006,3.6,1.8684075026494012e-06,6.859148371749119e-07,16.660811018093874,1
0.18,0.006,4.5,7.497091586390863e-07,3.774671372069225e-07,16.660811018093874,1
0.18,0.008,2.0,0.00019827709392674056,0.00019827709392674056,16.660811018093874,1
0.18,0.008,2.4,6.32913263775104e-05,5.518105567851661e-05,16.660811018093874,1
0.18,0.008,3.0,1.5414934937974518e-05,1.1951992752409496e-05,16.660811018093874,1
0.18,0.008,3.6,5.901379851402605e-06,2.172194165626003e-06,16.660811018093874,1
0.18,0.008,4.5,2.3683408407666285e-06,1.193796068910854e-06,16.660811018093874,1
0.18,0.01,2.0,0.00047696312697463925,0.00047696312697463925,16.660811018093874,1
0.18,0.01,2.4,0.00015291611863821864,0.00013391109066055953,16.660811018093874,1
0.18,0.01,3.0,3.7359126985487405e-05,2.9081351923198413e-05,16.660811018093874,1
0.18,0.01,3.6,1.4395667128440232e-05,5.31665438756896e-06,16.660811018093874,1
0.18,0.01,4.5,5.778709585738611e-06,2.9169857185049047e-06,16.660811018093874,1
0.18,0.012,2.0,0.0009712835324376663,0.0009712835324376663,16.660811018093874,1
0.18,0.012,2.4,0.0003130620360127328,0.00027561902830587403,16.660811018093874,1
0.18,0.012,3.0,7.677632210163013e-05,6.006318821175035e-05,16.660811018093874,1
0.18,0.012,3.6,2.982075252791517e-05,1.1058349533134688e-05,16.660811018093874,1
0.18,0.012,4.5,1.1974154764905866e-05,6.054570595085847e-06,16.660811018093874,1
0.18,0.016,2.0,0.0029312047004518677,0.0029312047004518677,16.660811018093874,0
0.18,0.016,2.4,0.0009581065367005674,0.0008543802771909107,16.660811018093874,1
0.18,0.016,3.0,0.00023718299753500225,0.00018803031826342552,16.660811018093874,1
0.18,0.016,3.6,9.40048345971349e-05,3.521537942683035e-05,16.660811018093874,1
0.18,0.016,4.5,3.777464741285276e-05,1.9180880109826763e-05,16.660811018093874,1
0.24,0.004,2.0,1.7206457224363862e-06,1.2280591521905617e-06,19.23824745242796,1
0.24,0.004,2.4,5.672639596066856e-07,6.875980837567026e-08,19.23824745242796,1
0.24,0.004,3.0,1.4688479616729325e-07,5.593177370910386e-08,19.23824745242796,1
0.24,0.004,3.6,6.42245703765869e-08,4.139974245616728e-08,19.23824745242796,1
0.24,0.004,4.5,2.587541035272009e-08,1.4969232433998372e-08,19.23824745242796,1
0.24,0.006,2.0,8.680115818040571e-06,6.174298964497012e-06,19.23824745242796,1
0.24,0.006,2.4,2.864032853737358e-06,3.481177855597212e-07,19.23824745242796,1
0.24,0.006,3.0,7.422631816895604e-07,2.83678016329616e-07,19.23824745242796,1
0.24,0.006,3.6,3.247889921666009e-07,2.0954445370301132e-07,19.23824745242796,1
0.24,0.006,4.5,1.3100088075370592e-07,7.571670061535294e-08,19.23824745242796,1
0.24,0.008,2.0,2.7297205010231576e-05,1.932742858761816e-05,19.23824745242796,1
0.24,0.008,2.4,9.018830244137987e-06,1.099952825274512e-06,19.23824745242796,1
0.24,0.008,3.0,2.339953816812673e-06,8.989030896120398e-07,19.23824745242796,1
0.24,0.008,3.6,1.0248171480623224e-06,6.619230996134554e-07,19.23824745242796,1
0.24,0.008,4.5,4.139566895837198e-07,2.3911995948409743e-07,19.23824745242796,1
0.24,0.01,2.0,6.621781061582673e-05,4.66126464903995e-05,19.23824745242796,1
0.24,0.01,2.4,2.1915239048957525e-05,2.6847425181962103e-06,19.23824745242796,1
0.24,0.01,3.0,5.693779225119282e-06,2.2020893223876456e-06,19.23824745242796,1
0.24,0.01,3.6,2.4970057906385604e-06,1.6150210220873209e-06,19.23824745242796,1
0.24,0.01,4.5,1.0103143740279925e-06,5.832987777026613e-07,19.23824745242796,1
0.24,0.012,2.0,0.00013623556083383696,9.523909292146002e-05,19.23824745242796,1
0.24,0.012,2.4,4.518229636259566e-05,5.566667508813157e-06,19.23824745242796,1
0.24,0.012,3.0,1.1758928668638559e-05,4.585326791358735e-06,19.23824745242796,1
0.24,0.012,3.6,5.165007591511755e-06,3.346126516307607e-06,19.23824745242796,1
0.24,0.012,4.5,2.094414968757281e-06,1.2082338560799276e-06,19.23824745242796,1
0.24,0.016,2.0,0.0004220242075766836,0.00029016060628720233,19.23824745242796,1
0.24,0.016,2.4,0.00014071384346108534,1.7608654281194915e-05,19.23824745242796,1
0.24,0.016,3.0,3.678198754294816e-05,1.4648990787796593e-05,19.23824745242796,1
0.24,0.016,3.6,1.622233011342255e-05,1.0552593169559547e-05,19.23824745242796,1
0.24,0.016,4.5,6.614376598149681e-06,3.808792764043977e-06,19.23824745242796,1
