point_label,noise_kind,input_state,v_low,g0_over_omega_rabi0,oscillator_ratio,t_gate,state_fidelity,max_high_population,final_high_population,gamma_phi,gamma_decay
near_fail_v018,none,minus,0.18,0.02,7.0,16.660811018093874,0.9996462149940842,0.0013121693755632226,6.030033371669886e-08,0.0,0.0
near_fail_v018,none,plus_i,0.18,0.02,7.0,16.660811018093874,0.9996464916840762,0.0013121710709740081,6.081325113093901e-08,0.0,0.0
near_fail_v018,none,minus_i,0.18,0.02,7.0,16.660811018093874,0.9996464916840759,0.0013121710709740086,6.081325113093901e-08,0.0,0.0
near_fail_v018,white,g,0.18,0.02,7.0,16.660811018093874,0.9986172540131109,0.001335230316036224,1.7884521181790105e-05,0.0002,0.0
near_fail_v018,white,e,0.18,0.02,7.0,16.660811018093874,0.9986172540131111,0.0013352303160362258,1.78845211817848e-05,0.0002,0.0
near_fail_v018,white,plus,0.18,0.02,7.0,16.660811018093874,0.9963255543051615,0.0013352310412567858,1.78842372441791e-05,0.0002,0.0
near_fail_v018,white,minus,0.18,0.02,7.0,16.660811018093874,0.9963255543051613,0.001335231041256796,1.7884237244185445e-05,0.0002,0.0
near_fail_v018,white,plus_i,0.18,0.02,7.0,16.660811018093874,0.9971097170025414,0.0013352327268506652,1.7884750355988688e-05,0.0002,0.0
near_fail_v018,white,minus_i,0.18,0.02,7.0,16.660811018093874,0.9971097170025408,0.0013352327268506639,1.7884750355985906e-05,0.0002,0.0
near_fail_v018,1/f,g,0.18,0.02,7.0,16.660811018093874,0.9939500232424554,0.0014424151394428221,0.0001001885918719851,0.0011111111111111111,0.0
near_fail_v018,1/f,e,0.18,0.02,7.0,16.660811018093874,0.9939500232424554,0.0014424151394428224,0.00010018859187198508,0.0011111111111111111,0.0
near_fail_v018,1/f,plus,0.18,0.02,7.0,16.660811018093874,0.981456263824303,0.001442416743186956,0.00010018827751604153,0.0011111111111111111,0.0
near_fail_v018,1/f,minus,0.18,0.02,7.0,16.660811018093874,0.9814562638243034,0.001442416743186951,0.00010018827751603582,0.0011111111111111111,0.0
near_fail_v018,1/f,plus_i,0.18,0.02,7.0,16.660811018093874,0.9857010038490713,0.0014424202850465012,0.00010018873462458786,0.0011111111111111111,0.0
near_fail_v018,1/f,minus_i,0.18,0.02,7.0,16.660811018093874,0.9857010038490712,0.0014424202850465016,0.00010018873462459049,0.0011111111111111111,0.0
