alpha,v_low,leakage_coupling,oscillator_ratio,max_high_population,final_high_population,F_X,t_gate,passes_leakage,passes_fidelity,passes_both
0.5,0.08,0.004,2.0,0.00017501109598321875,0.00017501109598321875,0.981349614331038,11.107207345395915,1,0,0
0.5,0.08,0.004,2.4,0.0001367693477381818,0.0001367693477381818,0.9835066769461994,11.107207345395915,1,0,0
0.5,0.08,0.004,3.0,8.528252270258079e-05,8.528252270258079e-05,0.9869683312412268,11.107207345395915,1,0,0
0.5,0.08,0.004,3.6,4.6213794716552826e-05,4.6138479114289974e-05,0.9904091593310581,11.107207345395915,1,0,0
0.5,0.08,0.004,4.5,1.8970326693638802e-05,1.2995921419230544e-05,0.9949059216278355,11.107207345395915,1,0,0
0.5,0.08,0.006,2.0,0.0008722336576883374,0.0008722336576883374,0.958525024173546,11.107207345395915,1,0,0
0.5,0.08,0.006,2.4,0.0006828861203764337,0.0006828861203764337,0.9632720289712456,11.107207345395915,1,0,0
0.5,0.08,0.006,3.0,0.0004270609934301553,0.0004270609934301553,0.9709172770381473,11.107207345395915,1,0,0
0.5,0.08,0.006,3.6,0.00023209004963792255,0.0002317134509472382,0.978549837631318,11.107207345395915,1,0,0
0.5,0.08,0.006,4.5,9.554646030493208e-05,6.551489222578385e-05,0.9885747819155081,11.107207345395915,1,0,0
0.5,0.08,0.008,2.0,0.0026970874587957114,0.0026970874587957114,0.9274596724379462,11.107207345395915,0,0,0
0.5,0.08,0.008,2.4,0.002116962530388728,0.002116962530388728,0.9356410005054898,11.107207345395915,0,0,0
0.5,0.08,0.008,3.0,0.0013292994019847714,0.0013292994019847714,0.948883390893056,11.107207345395915,0,0,0
0.5,0.08,0.008,3.6,0.0007253390730595754,0.000724169095309463,0.9621849626154889,11.107207345395915,1,0,0
0.5,0.08,0.008,4.5,0.00029981787740764905,0.000205838344686151,0.9797787848778832,11.107207345395915,1,0,0
0.5,0.08,0.01,2.0,0.0064027985821979065,0.0064027985821979065,0.88899330929905,11.107207345395915,0,0,0
0.5,0.08,0.01,2.4,0.00504191949191752,0.00504191949191752,0.9012768074631611,11.107207345395915,0,0,0
0.5,0.08,0.01,3.0,0.00318248190028514,0.00318248190028514,0.9212872628811603,11.107207345395915,0,0,0
0.5,0.08,0.01,3.6,0.0017455242109749394,0.0017427294424779804,0.9415459091734197,11.107207345395915,0,0,0
0.5,0.08,0.01,4.5,0.0007252494624573312,0.0004987106483614537,0.9685845699470012,11.107207345395915,1,0,0
0.5,0.08,0.012,2.0,0.012831743372314571,0.012831743372314571,0.8441387420110426,11.107207345395915,0,0,0
0.5,0.08,0.012,2.4,0.01014425796130641,0.01014425796130641,0.860985427134746,11.107207345395915,0,0,0
0.5,0.08,0.012,3.0,0.006443690434174215,0.006443690434174215,0.8886462107858041,11.107207345395915,0,0,0
0.5,0.08,0.012,3.6,0.00355646972400207,0.003550826558778898,0.9169206559203723,11.107207345395915,0,0,0
0.5,0.08,0.012,4.5,0.0014870222231698255,0.0010245229484851814,0.9550762905735413,11.107207345395915,0,0,0
0.5,0.08,0.016,2.0,0.0372087038739445,0.0372087038739445,0.7399121369668203,11.107207345395915,0,0,0
0.5,0.08,0.016,2.4,0.02970717178954903,0.02970717178954903,0.7663673193878922,11.107207345395915,0,0,0
0.5,0.08,0.016,3.0,0.019172204513895914,0.019172204513895914,0.8106835467728346,11.107207345395915,0,0,0
0.5,0.08,0.016,3.6,0.010750429702133387,0.010733759924117786,0.8571053702916631,11.107207345395915,0,0,0
0.5,0.08,0.016,4.5,0.004567135893583978,0.0031621510016182344,0.9215355820158477,11.107207345395915,0,0,0
0.5,0.1,0.004,2.0,0.00010169790647434032,0.00010169790647434032,0.9857722021626286,12.418235332245127,1,0,0
0.5,0.1,0.004,2.4,6.0482478264706194e-05,6.0482478264706194e-05,0.9890216573786843,12.418235332245127,1,0,0
0.5,0.1,0.004,3.0,2.516191593007481e-05,2.117504187738473e-05,0.9934991789625733,12.418235332245127,1,0,0
0.5,0.1,0.004,3.6,1.2151948881224096e-05,4.6732560579433685e-06,0.9969442554977839,12.418235332245127,1,0,0
0.5,0.1,0.004,4.5,4.9838159259027886e-06,6.712976477547716e-08,0.9996335583525544,12.418235332245127,1,1,1
0.5,0.1,0.006,2.0,0.0005087498949475915,0.0005087498949475915,0.9682717581940996,12.418235332245127,1,0,0
0.5,0.1,0.006,2.4,0.0003033959923370551,0.0003033959923370551,0.9754680412050447,12.418235332245127,1,0,0
0.5,0.1,0.006,3.0,0.0001266322216688164,0.00010662101536224802,0.9854325295014812,12.418235332245127,1,0,0
0.5,0.1,0.006,3.6,6.126673829309805e-05,2.3598862198881203e-05,0.993137695570589,12.418235332245127,1,0,0
0.5,0.1,0.006,4.5,2.5164042084492214e-05,3.3978727152159775e-07,0.9991756924638824,12.418235332245127,1,1,1
0.5,0.1,0.008,2.0,0.0015813424657852885,0.0015813424657852885,0.9442918580582964,12.418235332245127,0,0,0
0.5,0.1,0.008,2.4,0.0009466550123740646,0.0009466550123740646,0.9568044348476246,12.418235332245127,1,0,0
0.5,0.1,0.008,3.0,0.0003969235565560492,0.0003344300428474271,0.9742491274952875,12.418235332245127,1,0,0
0.5,0.1,0.008,3.6,0.0001925223442963148,7.431941655826425e-05,0.9878329158373953,12.418235332245127,1,0,0
0.5,0.1,0.008,4.5,7.923822366026991e-05,1.0735207842077678e-06,0.9985350319457478,12.418235332245127,1,0,0
0.5,0.1,0.01,2.0,0.0037790990234087903,0.0037790990234087903,0.9143311291551961,12.418235332245127,0,0,0
0.5,0.1,0.01,2.4,0.00227339550797345,0.00227339550797345,0.9333321233426433,12.418235332245127,0,0,0
0.5,0.1,0.01,3.0,0.0009588136665939405,0.0008085664485720194,0.9600567316274626,12.418235332245127,1,0,0
0.5,0.1,0.01,3.6,0.0004665641518667559,0.0001806152716179883,0.9810540986140885,12.418235332245127,1,0,0
0.5,0.1,0.01,4.5,0.00019253924464183772,2.6195544797480957e-06,0.9977119290292291,12.418235332245127,1,0,0
0.5,0.1,0.012,2.0,0.007634989154848638,0.007634989154848638,0.8790003438906777,12.418235332245127,0,0,0
0.5,0.1,0.012,2.4,0.004620332650489463,0.004620332650489463,0.9054242926763447,12.418235332245127,0,0,0
