point_label,noise_kind,gamma_phi0_over_omega_rabi0,v_low,g0_over_omega_rabi0,oscillator_ratio,t_gate,F_entanglement,F_avg,max_high_population,final_high_population,gamma_phi_effective,gamma_decay,passes_average_gate_fidelity,passes_leakage,passes_both
r002_v024_ratio3,none,0.0,0.24,0.02,3.0,19.23824745242796,0.9993771841187435,0.9995847894124957,0.0007829107130081208,1.8778586569213336e-07,0.0,0.0,1,1,1
r002_v024_ratio3,white,0.0001,0.24,0.02,3.0,19.23824745242796,0.9992233924588297,0.9994822616392197,0.0007830860363415224,5.87908580450528e-07,8.000000000000001e-06,0.0,1,1,1
r002_v024_ratio3,white,0.0025,0.24,0.02,3.0,19.23824745242796,0.9955435165902838,0.9970290110601893,0.0007872893344507184,1.0218424921413024e-05,0.0002,0.0,0,1,0
r002_v024_ratio3,1/f,0.0001,0.24,0.02,3.0,19.23824745242796,0.9987366306114995,0.9991577537409997,0.0007836411287290225,1.8555711047914922e-06,3.333333333333334e-05,0.0,1,1,1
r002_v024_ratio3,1/f,0.0025,0.24,0.02,3.0,19.23824745242796,0.9835550661278534,0.9890367107519022,0.0008013183683728127,4.235812303358751e-05,0.0008333333333333334,0.0,0,1,0
r003_v024_ratio45,none,0.0,0.24,0.03,4.5,19.23824745242796,0.9998235672814995,0.9998823781876663,0.00039023640138708164,1.456163509901154e-08,0.0,0.0,1,1,1
r003_v024_ratio45,white,0.0001,0.24,0.03,4.5,19.23824745242796,0.9996697069546352,0.9997798046364235,0.0003905971881774175,2.724802202445647e-07,8.000000000000001e-06,0.0,1,1,1
r003_v024_ratio45,white,0.0025,0.24,0.03,4.5,19.23824745242796,0.9959881281577493,0.9973254187718329,0.0003992613397991907,6.483073162624257e-06,0.0002,0.0,0,1,0
r003_v024_ratio45,1/f,0.0001,0.24,0.03,4.5,19.23824745242796,0.9991827264259259,0.9994551509506172,0.0003917397957282645,1.0896744989652778e-06,3.333333333333334e-05,0.0,1,1,1
r003_v024_ratio45,1/f,0.0025,0.24,0.03,4.5,19.23824745242796,0.9839933317416348,0.9893288878277566,0.00042791213770202954,2.724844997254396e-05,0.0008333333333333334,0.0,0,1,0
r004_v024_ratio55,none,0.0,0.24,0.04,5.5,19.23824745242796,0.9999977663376535,0.9999985108917689,0.0005945247083819026,7.58177621586944e-10,0.0,0.0,1,1,1
r004_v024_ratio55,white,0.0001,0.24,0.04,5.5,19.23824745242796,0.9998438791378714,0.9998959194252476,0.0005948719943045288,3.3948726235962854e-07,8.000000000000001e-06,0.0,1,1,1
r004_v024_ratio55,white,0.0025,0.24,0.04,5.5,19.23824745242796,0.9961616204292277,0.9974410802861519,0.0006032108394619605,8.494743014887578e-06,0.0002,0.0,0,1,0
r004_v024_ratio55,1/f,0.0001,0.24,0.04,5.5,19.23824745242796,0.9993568127655583,0.9995712085103722,0.0005959718207746684,1.4126963099736098e-06,3.333333333333334e-05,0.0,1,1,1
r004_v024_ratio55,1/f,0.0025,0.24,0.04,5.5,19.23824745242796,0.984164112544849,0.989442741696566,0.0006310380471657215,3.5745700079053686e-05,0.0008333333333333334,0.0,0,1,0
r005_v024_ratio7,none,0.0,0.24,0.05,7.0,19.23824745242796,0.9999912284830395,0.9999941523220263,0.00044433776463169607,4.037252942180973e-10,0.0,0.0,1,1,1
r005_v024_ratio7,white,0.0001,0.24,0.05,7.0,19.23824745242796,0.9998373423096545,0.9998915615397697,0.0004447341520551062,3.003367070087424e-07,8.000000000000001e-06,0.0,1,1,1
r005_v024_ratio7,white,0.0025,0.24,0.05,7.0,19.23824745242796,0.9961551237452709,0.9974367491635139,0.0004542531211624428,7.5219418160548445e-06,0.0002,0.0,0,1,0
r005_v024_ratio7,1/f,0.0001,0.24,0.05,7.0,19.23824745242796,0.999350279533852,0.999566853022568,0.0004459894972074191,1.2506350987510014e-06,3.333333333333334e-05,0.0,1,1,1
r005_v024_ratio7,1/f,0.0025,0.24,0.05,7.0,19.23824745242796,0.9841579550354844,0.989438636690323,0.00048573027445639085,3.165868153626471e-05,0.0008333333333333334,0.0,0,1,0
