v_low,g0_over_omega_rabi0,g0,oscillator_ratio,drag_lambda,t_gate,max_high_population,final_high_population,F_X,passes_leakage,passes_fidelity,passes_both
0.18,0.03,0.0024,4.5,-0.5,16.660811018093874,0.07832123824299941,8.084700751600054e-05,0.9588899307916622,0,0,0
0.18,0.03,0.0024,4.5,0.0,16.660811018093874,0.06583728644951153,7.865210866218428e-06,0.9960408829625979,0,0,0
0.18,0.03,0.0024,4.5,0.5,16.660811018093874,0.05226587255770144,9.896498635240608e-06,0.9588898795016995,0,0,0
0.18,0.03,0.0024,4.5,1.0,16.660811018093874,0.04254510679499144,2.8342421019428295e-05,0.8505173819816878,0,0,0
0.18,0.03,0.0024,4.5,1.5,16.660811018093874,0.038184622634253,0.0001940804226155424,0.6825185407181336,0,0,0
0.18,0.03,0.0024,4.5,2.0,16.660811018093874,0.04554810686033508,0.0016853529495071998,0.4794360351306006,0,0,0
0.18,0.03,0.0024,5.5,-2.0,16.660811018093874,0.027922718655424287,0.000301611041858506,0.6299888792037509,0,0,0
0.18,0.03,0.0024,5.5,-1.5,16.660811018093874,0.024594767467265945,0.00020077542370665926,0.77681098242645,0,0,0
0.18,0.03,0.0024,5.5,-1.0,16.660811018093874,0.022406020805695998,0.00010374197390328051,0.8940880351451109,0,0,0
0.18,0.03,0.0024,5.5,-0.5,16.660811018093874,0.020357531256600864,3.9472878190097035e-05,0.9696709517733786,0,0,0
0.18,0.03,0.0024,5.5,0.0,16.660811018093874,0.018525943750699433,8.995382009290004e-06,0.9957611723314999,0,0,0
0.18,0.03,0.0024,5.5,0.5,16.660811018093874,0.017864767021233637,2.7551615423449556e-07,0.969671192563376,0,0,0
0.18,0.03,0.0024,5.5,1.0,16.660811018093874,0.01886164900113779,2.4384137701971423e-06,0.8940882058502224,0,0,0
0.18,0.03,0.0024,5.5,1.5,16.660811018093874,0.020288131698357314,9.580444137732346e-06,0.7768113235479207,0,0,0
0.18,0.03,0.0024,5.5,2.0,16.660811018093874,0.021961637753288212,1.639673689029009e-05,0.6299888877370406,0,0,0
0.18,0.03,0.0024,7.0,-2.0,16.660811018093874,0.008313070973196472,1.0256605567264195e-05,0.7418080424243563,0,0,0
0.18,0.03,0.0024,7.0,-1.5,16.660811018093874,0.007784534734453733,6.179296097103664e-06,0.8480912341247503,0,0,0
0.18,0.03,0.0024,7.0,-1.0,16.660811018093874,0.007250405227450638,3.1833809266505517e-06,0.9299721131154743,0,0,0
0.18,0.03,0.0024,7.0,-0.5,16.660811018093874,0.006753022990099839,1.2813739032709752e-06,0.9815794508579716,0,0,0
0.18,0.03,0.0024,7.0,0.0,16.660811018093874,0.0063624262719913435,3.16646697007242e-07,0.9992042612946784,0,1,0
0.18,0.03,0.0024,7.0,0.5,16.660811018093874,0.006240430516921261,1.2605482749775682e-08,0.9815794640642936,0,0,0
0.18,0.03,0.0024,7.0,1.0,16.660811018093874,0.006516865659800997,5.3358744995326035e-08,0.9299720276364044,0,0,0
0.18,0.03,0.0024,7.0,1.5,16.660811018093874,0.007032599375605312,1.880655586627524e-07,0.848090980396078,0,0,0
0.18,0.03,0.0024,7.0,2.0,16.660811018093874,0.007658558778109152,3.495785673683921e-07,0.7418077781727391,0,0,0
0.18,0.04,0.0032,3.0,-2.0,16.660811018093874,0.9693814213587684,0.6139256176689828,0.019538736894041148,0,0,0
0.18,0.04,0.0032,3.0,-1.5,16.660811018093874,0.8724548417429294,0.15074578458616678,0.29114268123090836,0,0,0
0.18,0.04,0.0032,3.0,-1.0,16.660811018093874,0.7909284801472501,0.030326275684468232,0.7110919481256129,0,0,0
0.18,0.04,0.0032,3.0,-0.5,16.660811018093874,0.7644782663466326,0.06061599652690493,0.5828175912791265,0,0,0
0.18,0.04,0.0032,3.0,0.0,16.660811018093874,0.7358199259830579,0.18909628508679951,0.4078905668245481,0,0,0
0.18,0.04,0.0032,3.0,0.5,16.660811018093874,0.6448945313907997,0.08790240901001924,0.5828185882410412,0,0,0
0.18,0.04,0.0032,3.0,1.0,16.660811018093874,0.6279703121818854,0.006026298542725179,0.7110934217328627,0,0,0
0.18,0.04,0.0032,3.0,1.5,16.660811018093874,0.7967028216308969,0.06253528609690559,0.29114279151714406,0,0,0
0.18,0.04,0.0032,3.0,2.0,16.660811018093874,0.9577717612353427,0.44891032332434794,0.01953892241363304,0,0,0
0.18,0.04,0.0032,3.6,-2.0,16.660811018093874,0.7035917309411712,0.4511416591505951,0.12895637802009305,0,0,0
0.18,0.04,0.0032,3.6,-1.5,16.660811018093874,0.5835620111361957,0.09891662549657429,0.4545910733403712,0,0,0
0.18,0.04,0.0032,3.6,-1.0,16.660811018093874,0.5175469806021037,0.009309438376653678,0.7990542360357329,0,0,0
0.18,0.04,0.0032,3.6,-0.5,16.660811018093874,0.4949392883482497,0.004235023388105479,0.9059362652713125,0,0,0
0.18,0.04,0.0032,3.6,0.0,16.660811018093874,0.453477602528161,0.0048758304058928725,0.8949563436432547,0,0,0
