n,predicted_port,observed_port,P_port_0,P_port_1,P_port_2,P_port_3,P_port_4,P_port_5,P_port_6,P_port_7
0,0,0,0.9992603391457285,0.00010421053486267621,0.00010938237625774216,0.00010508046516689993,0.00010136752427268621,0.00010581469090870007,0.00011005561348976114,0.00010374964931307626
1,7,7,0.00010228965107054974,0.00010440692844079665,0.00011618480525600383,0.00011672066132026238,0.00011572078739379576,0.00010438433595665588,0.000102106132779106,0.9992381866977829
2,6,6,0.00010882701688919671,0.00010403420022516024,0.0001156769984419138,0.0001042041955317882,0.00010899182156506401,0.00012143433065111696,0.9992153513076988,0.00012148012899693814
3,5,5,0.00012217375724532032,9.491812202151297e-05,0.00012184693204763348,0.00010932741039262293,0.00011067736079985322,0.9992209965205265,0.00011033884493637778,0.00010972105203014652
4,4,4,9.740344485209325e-05,0.00010660169312746678,0.00010717815833494881,9.596697163202456e-05,0.9992825860036769,9.579250948070375e-05,0.00010754990047364499,0.00010692131842222916
5,3,3,0.00011280360730808366,0.0001163556981210877,9.539943036618622e-05,0.999226623865215,9.585002840108251e-05,0.00011593029265789085,0.00011250688317702438,0.00012453019475358132
6,2,2,0.00012015781342706138,0.0001244776283906958,0.9991501530490423,0.000124840424839655,0.00012029699523059873,0.00011982748844586399,0.00012058771000015336,0.00011965889062366606
7,1,1,0.0001058405619451303,0.9992143681153355,0.00010635822886717212,0.00011736970120555695,0.00010593708634155915,0.00012741142423145527,0.00010512570378473707,0.0001175891782888725
