switch_time,error_bound,omega_max
20.0,3.8060233744356743e-06,0.2945243112740431
21.680672268907564,3.8060233744356743e-06,0.2716929693148149
23.361344537815125,3.8060233744356578e-06,0.2521467125295765
25.04201680672269,3.8060233744356743e-06,0.23522411437322904
26.722689075630253,3.8060233744356743e-06,0.22043014491579324
28.403361344537814,3.8060233744356743e-06,0.20738694107462205
30.084033613445378,3.8060233744356743e-06,0.1958010784447549
31.764705882352942,3.8060233744356743e-06,0.1854412330243975
33.445378151260506,3.8060233744356743e-06,0.17612257809854837
35.12605042016807,3.8060233744356743e-06,0.16769566048617762
36.80672268907563,3.8060233744356743e-06,0.1600383243909184
38.4873949579832,3.806023374435691e-06,0.153049751273411
40.168067226890756,3.8060233744356743e-06,0.14664599599000472
41.84873949579832,3.8060233744356743e-06,0.14075659856068726
43.529411764705884,3.806023374435691e-06,0.1353219808556414
45.21008403361344,3.8060233744356743e-06,0.13029142394650978
46.89075630252101,3.8060233744356743e-06,0.12562148043588217
48.57142857142857,3.8060233744356743e-06,0.12127471640695892
50.252100840336134,3.8060233744356743e-06,0.11721870582478638
51.9327731092437,3.8060233744356743e-06,0.11342522019938876
53.61344537815126,3.8060233744356743e-06,0.10986957066335776
55.294117647058826,3.8060233744356743e-06,0.10653007003529218
56.97478991596639,3.8060233744356743e-06,0.10338759009324816
58.65546218487395,3.8060233744356743e-06,0.10042519496163647
60.33613445378151,3.8060233744356743e-06,0.09762783577050453
62.016806722689076,3.8060233744356743e-06,0.09498209496371579
63.69747899159664,3.8060233744356743e-06,0.09247597108604519
65.37815126050421,3.8060233744356743e-06,0.09009869676506715
67.05882352941177,3.8060233744356743e-06,0.08784058406418828
68.73949579831933,3.8060233744356578e-06,0.0856928925222766
70.42016806722688,3.8060233744356743e-06,0.08364771608976404
72.10084033613445,3.8060233744356743e-06,0.08169788587788142
73.78151260504202,3.8060233744356743e-06,0.07983688619956976
75.46218487394958,3.8060233744356743e-06,0.07805878182986888
77.14285714285714,3.8060233744356743e-06,0.07635815477475191
78.82352941176471,3.8060233744356743e-06,0.07473004912923481
80.50420168067227,3.806023374435691e-06,0.07316992284261195
82.18487394957984,3.8060233744356743e-06,0.07167360540206774
83.8655462184874,3.8060233744356743e-06,0.07023726060443111
85.54621848739495,3.8060233744356578e-06,0.06885735371632835
87.22689075630252,3.8060233744356743e-06,0.06753062243084995
88.90756302521008,3.8060233744356578e-06,0.06625405111835753
90.58823529411765,3.8060233744356743e-06,0.0650248479436199
92.26890756302521,3.8060233744356743e-06,0.06384042448380897
